DIETARY,MICROBE,EVIDENCE,QUESTIONS,RELATION
super-comminuted dietary fiber from pomelo peel (SCPPDF),Parasutterella,"In contrast, Bacteroidetes, Bacteroides, Parasutterella, Lactobacillus, Bifidobacterium, Lactobacillus gasseri, Lactobacillus vaginalis, and Coriobacteriacea were significantly negatively correlated with the obesity indexes, such as BW, kidney and heart weights, eWAT, TG and LCI. Allobaculum and Lactobacillus acidophilus were negatively correlated with TC and AI (P < 0.05 or P < 0.01). Alloprevotella was negatively correlated with ALT and AST (P < 0.05). Faecalibaculum was negatively correlated with HDL-C (P < 0.05).",What is the relationship between super-comminuted dietary fiber from pomelo peel (SCPPDF) and Parasutterella?,negative
super-comminuted dietary fiber from pomelo peel (SCPPDF),Lactobacillus,"In contrast, Bacteroidetes, Bacteroides, Parasutterella, Lactobacillus, Bifidobacterium, Lactobacillus gasseri, Lactobacillus vaginalis, and Coriobacteriacea were significantly negatively correlated with the obesity indexes, such as BW, kidney and heart weights, eWAT, TG and LCI. Allobaculum and Lactobacillus acidophilus were negatively correlated with TC and AI (P < 0.05 or P < 0.01). Alloprevotella was negatively correlated with ALT and AST (P < 0.05). Faecalibaculum was negatively correlated with HDL-C (P < 0.05).",What is the relationship between super-comminuted dietary fiber from pomelo peel (SCPPDF) and Lactobacillus?,negative
super-comminuted dietary fiber from pomelo peel (SCPPDF),Bifidobacterium,"In contrast, Bacteroidetes, Bacteroides, Parasutterella, Lactobacillus, Bifidobacterium, Lactobacillus gasseri, Lactobacillus vaginalis, and Coriobacteriacea were significantly negatively correlated with the obesity indexes, such as BW, kidney and heart weights, eWAT, TG and LCI. Allobaculum and Lactobacillus acidophilus were negatively correlated with TC and AI (P < 0.05 or P < 0.01). Alloprevotella was negatively correlated with ALT and AST (P < 0.05). Faecalibaculum was negatively correlated with HDL-C (P < 0.05).",What is the relationship between super-comminuted dietary fiber from pomelo peel (SCPPDF) and Bifidobacterium?,negative
super-comminuted dietary fiber from pomelo peel (SCPPDF),Lactobacillus gasseri,"In contrast, Bacteroidetes, Bacteroides, Parasutterella, Lactobacillus, Bifidobacterium, Lactobacillus gasseri, Lactobacillus vaginalis, and Coriobacteriacea were significantly negatively correlated with the obesity indexes, such as BW, kidney and heart weights, eWAT, TG and LCI. Allobaculum and Lactobacillus acidophilus were negatively correlated with TC and AI (P < 0.05 or P < 0.01). Alloprevotella was negatively correlated with ALT and AST (P < 0.05). Faecalibaculum was negatively correlated with HDL-C (P < 0.05).",What is the relationship between super-comminuted dietary fiber from pomelo peel (SCPPDF) and Lactobacillus gasseri?,negative
super-comminuted dietary fiber from pomelo peel (SCPPDF),Lactobacillus vaginalis,"In contrast, Bacteroidetes, Bacteroides, Parasutterella, Lactobacillus, Bifidobacterium, Lactobacillus gasseri, Lactobacillus vaginalis, and Coriobacteriacea were significantly negatively correlated with the obesity indexes, such as BW, kidney and heart weights, eWAT, TG and LCI. Allobaculum and Lactobacillus acidophilus were negatively correlated with TC and AI (P < 0.05 or P < 0.01). Alloprevotella was negatively correlated with ALT and AST (P < 0.05). Faecalibaculum was negatively correlated with HDL-C (P < 0.05).",What is the relationship between super-comminuted dietary fiber from pomelo peel (SCPPDF) and Lactobacillus vaginalis?,negative
super-comminuted dietary fiber from pomelo peel (SCPPDF),Coriobacteriacea ,"In contrast, Bacteroidetes, Bacteroides, Parasutterella, Lactobacillus, Bifidobacterium, Lactobacillus gasseri, Lactobacillus vaginalis, and Coriobacteriacea were significantly negatively correlated with the obesity indexes, such as BW, kidney and heart weights, eWAT, TG and LCI. Allobaculum and Lactobacillus acidophilus were negatively correlated with TC and AI (P < 0.05 or P < 0.01). Alloprevotella was negatively correlated with ALT and AST (P < 0.05). Faecalibaculum was negatively correlated with HDL-C (P < 0.05).",What is the relationship between super-comminuted dietary fiber from pomelo peel (SCPPDF) and Coriobacteriacea ?,negative
tomato,Bacteroidetes(Bacteroidia),"In animals fed with tomatoes, microorganisms undergo transformation, including a higher proportion of Bacteroidetes and Bacillus (formerly known as Bacteroidetes and Firmicutes, respectively), as well as a higher proportion α Diversity indicates a shift towards a more ideal phenotype.",What is the relationship between tomato and Bacteroidetes(Bacteroidia)?,positive
tomato,Bacillus,"In animals fed with tomatoes, microorganisms undergo transformation, including a higher proportion of Bacteroidetes and Bacillus (formerly known as Bacteroidetes and Firmicutes, respectively), as well as a higher proportion α Diversity indicates a shift towards a more ideal phenotype.",What is the relationship between tomato and Bacillus?,positive
tomato,Propionibacterium,"These are Alphatorquevirus, Brugia, Loa, Malassezia, Plasmodium, Propionibacterium, Roseiflex, Yeast, Staphylococcus, Streptococcus, Vanderwaltozyma, Lambda like viruses, and unclassified (bacterial origin). The tomato group had significantly higher scores than the control group, except for Roseiflex and Streptococcus in the control group.",What is the relationship between tomato and Propionibacterium?,positive
tomato,Yeast,"These are Alphatorquevirus, Brugia, Loa, Malassezia, Plasmodium, Propionibacterium, Roseiflex, Yeast, Staphylococcus, Streptococcus, Vanderwaltozyma, Lambda like viruses, and unclassified (bacterial origin). The tomato group had significantly higher scores than the control group, except for Roseiflex and Streptococcus in the control group.",What is the relationship between tomato and Yeast?,positive
tomato,Staphylococcus,"These are Alphatorquevirus, Brugia, Loa, Malassezia, Plasmodium, Propionibacterium, Roseiflex, Yeast, Staphylococcus, Streptococcus, Vanderwaltozyma, Lambda like viruses, and unclassified (bacterial origin). The tomato group had significantly higher scores than the control group, except for Roseiflex and Streptococcus in the control group.",What is the relationship between tomato and Staphylococcus?,positive
tomato,Streptococcus,"These are Alphatorquevirus, Brugia, Loa, Malassezia, Plasmodium, Propionibacterium, Roseiflex, Yeast, Staphylococcus, Streptococcus, Vanderwaltozyma, Lambda like viruses, and unclassified (bacterial origin). The tomato group had significantly higher scores than the control group, except for Roseiflex and Streptococcus in the control group.",What is the relationship between tomato and Streptococcus?,positive
tomato,Stenotrophomonas,"These are Alphatorquevirus, Brugia, Loa, Malassezia, Plasmodium, Propionibacterium, Roseiflex, Yeast, Staphylococcus, Streptococcus, Vanderwaltozyma, Lambda like viruses, and unclassified (bacterial origin). The tomato group had significantly higher scores than the control group, except for Roseiflex and Streptococcus in the control group.",What is the relationship between tomato and Stenotrophomonas?,positive
Ganpu tea,Firmicutes(Bacillota),"In the GPT group, the relative abundance of Firmicutes decreased, while the relative abundance of Bacteroidetes increased",What is the relationship between Ganpu tea and Firmicutes(Bacillota)?,negative
Ganpu tea,Bacteroidetes(Bacteroidia),"In the GPT group, the relative abundance of Firmicutes decreased, while the relative abundance of Bacteroidetes increased",What is the relationship between Ganpu tea and Bacteroidetes(Bacteroidia)?,positive
Ganpu tea,lactobacillus,"In this experiment, compared with the CON group, the GPT group had a decrease in lactic acid bacteria. This may be related to the association between lactic acid bacteria and obesity, which are usually enriched in obese mice [46].",What is the relationship between Ganpu tea and lactobacillus?,negative
Ordinary peanuts,Proteobacteria(Pseudomonadota),"At the phylum level, the relative abundance of Proteobacteria and Firmicutes was higher in the peanut addition group, while the relative abundance of Bacteroidetes was lower.",What is the relationship between Ordinary peanuts and Proteobacteria(Pseudomonadota)?,positive
Ordinary peanuts,Firmicutes(Bacillota),"At the phylum level, the relative abundance of Proteobacteria and Firmicutes was higher in the peanut addition group, while the relative abundance of Bacteroidetes was lower.",What is the relationship between Ordinary peanuts and Firmicutes(Bacillota)?,positive
Ordinary peanuts,Bacteroidetes(Bacteroidia),"At the phylum level, the relative abundance of Proteobacteria and Firmicutes was higher in the peanut addition group, while the relative abundance of Bacteroidetes was lower.",What is the relationship between Ordinary peanuts and Bacteroidetes(Bacteroidia)?,negative
High oleic acid peanuts,Bifidobacterium,"At the order level, the addition of high oleic acid peanuts resulted in an increase and decrease in the numbers of bifidobacteria and anaerobic pulp bacteria, respectively",What is the relationship between High oleic acid peanuts and Bifidobacterium?,positive
